time,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,nn_torque_left,nn_torque_right,nn_qHr_left,nn_qHr_right,nn_L_P,nn_L_D,nn_R_P,nn_R_D,gait_cycle
6.35,-3.4954,-21.3063,89.5386,-271.7285,-32.76899758990399,67.11946794468966,-0.18612890032891682,0.5591428420117004,-9.306445016445842,17.015170942733594,27.95714210058502,-0.37945413342701517,5
6.36,-2.6934,-24.0748,77.0264,-275.4517,-27.343507059248044,62.571886070021925,-0.11851616436795845,0.48743054415079157,-5.925808218397923,18.19885945470369,24.37152720753958,-2.5550068090755533,5
6.37,-2.0232,-26.8763,62.9272,-278.5034,-21.94965625497264,57.81294203967541,-0.05239637597428415,0.415414654514481,-2.619818798714207,19.28460846166583,20.770732725724052,-4.7926852422009185,5
6.38,-1.4959,-29.7053,48.8281,-281.4941,-16.611622785487558,52.85850783034758,0.011802652686312906,0.3433486912664184,0.5901326343156453,20.263862250052078,17.16743456332092,-7.081740224898664,5
6.39,-1.1058,-35.3468,34.2407,-278.4424,-11.35252133679385,47.72516579494852,0.07362718750818603,0.2714549737944698,3.6813593754093015,21.128711111945528,13.57274868972349,-9.410548403964034,5
6.4,-1.1058,-35.3468,34.2407,-278.4424,-6.1948255986143685,42.43025484699668,0.13268048155242942,0.19996712686739576,6.634024077621471,21.875523860505623,9.998356343369789,-11.766203974917214,5
6.41,-0.8806,-38.0439,20.3857,-266.1133,-1.160526599109243,36.99192873080803,0.1886823272425843,0.12914035984285174,9.434116362129215,22.504882384728948,6.457017992142587,-14.133936398102763,5
6.42,-0.6939,-40.5928,3.8452,-251.709,3.7289442768585,31.429284140475595,0.24141986756517603,0.05926762864761137,12.070993378258802,23.01407690817642,2.9633814323805687,-16.49466341667257,5
6.43,-0.6609,-42.8669,1.5869,-235.1074,8.452860848709491,25.76258767002343,0.2907520056621523,-0.009314206952838952,14.537600283107615,23.39992936173577,-0.46571034764194763,-18.826596771982747,5
6.44,-0.5895,-45.0642,7.1411,-214.7827,12.991461121368724,20.013533512869095,0.3366730888106439,-0.0762885763648176,16.833654440532193,23.667853896686317,-3.8144288182408803,-21.107532828795566,5
6.45,-0.4522,-47.0198,16.9067,-190.4297,17.32648271131676,14.205417233890788,0.3792807952477226,-0.14138133507875836,18.964039762386133,23.831205491044685,-7.069066753937918,-23.314160608952466,5
6.46,-0.194,-50.1564,29.9072,-138.6719,21.441894696491907,8.363242046853752,0.41870796273055744,-0.20434379345699105,20.935398136527873,23.907138709838765,-10.217189672849553,-25.41629515479687,5
6.47,-0.194,-50.1564,29.9072,-138.6719,25.32457451065401,2.5138038406121606,0.4551122916419354,-0.26495896143136294,22.75561458209677,23.911139100960362,-13.247948071568146,-27.385061926563235,5
6.48,0.262,-51.3374,49.8047,-112.4878,28.96476351924122,-3.314435025883686,0.48866336794852216,-0.3230599689822547,24.43316839742611,23.856978503710604,-16.152998449112737,-29.206186945177777,5
6.49,1.4595,-52.2383,76.1719,-84.1064,32.35636148844003,-9.091818930179434,0.5195776886061594,-0.3785450945934896,25.978884430307968,23.765233910294935,-18.92725472967448,-30.866513088569775,5
6.5,2.201,-52.8425,74.707,-54.1382,35.49714938051058,-14.788071809306071,0.5480225098203411,-0.431353478683126,27.401125491017055,23.656041777027887,-21.5676739341563,-32.34710940157148,5
6.51,2.9756,-53.1831,81.7871,-28.7476,38.38873395101782,-20.37272242314657,0.5740530056908433,-0.48135971053748516,28.702650284542162,23.53841403685436,-24.06798552687426,-33.63114869870813,5
6.52,3.8105,-53.2765,87.1582,-5.0659,41.03606395838587,-25.81538905536939,0.5977016163967429,-0.5283506042755184,29.885080819837146,23.417725005791414,-26.41753021377592,-34.70614047154217,5
